text,__expected
Where is my dog?,-1
How do I reset my account password?,0
What's your policy on returning items?,1
Can I change the shipping address for my order?,2
How can I track my recent purchase?,3
do u have rewards system,4
Making large order - can I get a discount?,5
What shipping options do you offer?,6
Help! need to cancel subscription delivery asap.,7
How to create account,8
Does PetWorld offer grooming services?,-1
Do you have a mobile app?,-1
I have a golden retriever what collar size is good,-1
