query,correct_chunks,__expected
"How can you create multiple test cases for an evaluation in the Anthropic Evaluation tool?","[""https://docs.claude.com/en/docs/test-and-evaluate/eval-tool#creating-test-cases"",""https://docs.claude.com/en/docs/build-with-claude/develop-tests#building-evals-and-test-cases""]","python:file://eval_retrieval.py"
"What embeddings provider does Anthropic recommend for customized domain-specific models, and what capabilities does this provider offer?","[""https://docs.claude.com/en/docs/build-with-claude/embeddings#before-implementing-embeddings"",""https://docs.claude.com/en/docs/build-with-claude/embeddings#how-to-get-embeddings-with-anthropic""]","python:file://eval_retrieval.py"
"What are some key success metrics to consider when evaluating Claude's performance on a classification task, and how do they relate to choosing the right model to reduce latency?","[""https://docs.claude.com/en/docs/about-claude/use-cases/classification#evaluation-metrics"",""https://docs.claude.com/en/docs/test-and-evaluate/strengthen-guardrails/reduce-latency#1-choose-the-right-model""]","python:file://eval_retrieval.py"
"What are two ways that Claude for Sheets can improve prompt engineering workflows compared to using chained prompts?","[""https://docs.claude.com/en/docs/build-with-claude/claude-for-sheets#why-use-claude-for-sheets"",""https://docs.claude.com/en/docs/build-with-claude/prompt-engineering/chain-prompts#how-to-chain-prompts""]","python:file://eval_retrieval.py"
"What happens if a prompt for the Text Completions API is missing the ""\n\nHuman:"" and ""\n\nAssistant:"" turns?","[""https://docs.claude.com/en/api/migrating-from-text-completions-to-messages#system-prompt"",""https://docs.claude.com/en/api/prompt-validation#examples""]","python:file://eval_retrieval.py"
"How do the additional tokens required for tool use in Claude API requests impact pricing compared to regular API requests?","[""https://docs.claude.com/en/docs/build-with-claude/tool-use#pricing"",""https://docs.claude.com/en/docs/build-with-claude/tool-use#how-tool-use-works""]","python:file://eval_retrieval.py"
"When will the new Anthropic Developer Console features that show API usage, billing details, and rate limits be available?","[""https://docs.claude.com/en/release-notes/api#june-27th-2024""]","python:file://eval_retrieval.py"
"When deciding whether to use chain-of-thought (CoT) for a task, what are two key factors to consider in order to strike the right balance between performance and latency?","[""https://docs.claude.com/en/docs/build-with-claude/prompt-engineering/chain-of-thought#why-not-let-claude-think"",""https://docs.claude.com/en/docs/build-with-claude/prompt-engineering/chain-of-thought#before-implementing-cot""]","python:file://eval_retrieval.py"
"How can I use Claude to more easily digest the content of long PDF documents?","[""https://docs.claude.com/en/docs/build-with-claude/text-generation#anthropic-cookbook"",""https://docs.claude.com/en/docs/build-with-claude/vision#before-you-upload""]","python:file://eval_retrieval.py"
"According to the documentation, where can you view your organization's current API rate limits in the Claude Console?","[""https://docs.claude.com/en/api/rate-limits#about-our-limits"",""https://docs.claude.com/en/release-notes/api#june-27th-2024""]","python:file://eval_retrieval.py"
